2021-01-15|09:12:01|Salary|Company A|3000.00
2021-02-10|11:25:00|Rent|PE Rentals|-1200.00
2021-03-08|13:45:12|Groceries|SuperMart|-145.50
2021-04-22|15:30:30|Dining|Pizza Palace|-32.10
2021-05-18|10:00:00|Gift|Family|100.00
2021-06-05|12:40:55|Car Maintenance|AutoFix|-450.00
2021-07-11|08:30:30|Freelance|Client X|800.00
2021-08-23|19:00:00|Utilities|City Power|-98.00
2021-09-06|16:10:10|Subscription|StreamNow|-14.99
2021-10-01|13:45:00|Clothes|FashionShop|-90.00
2021-11-15|14:20:00|Bonus|Company A|400.00
2021-12-30|17:30:30|Dining|Sushi Spot|-55.20
2021-12-31|23:59:59|New Year Gift|Friend|75.00
2022-02-14|18:14:00|Valentine Gift|SweetMart|-60.00
2022-03-12|10:10:10|Invoice Payment|Client Y|950.00
2022-04-19|11:30:00|Fuel|FuelCo|-65.00
2022-05-05|14:44:44|Groceries|Market Lane|-152.75
2022-06-25|15:15:15|Paycheck|Company A|3100.00
2022-07-04|08:08:08|Holiday Bonus|Company A|500.00
2022-08-30|17:25:00|Dining|Taco Land|-45.00
2022-09-13|16:30:00|Side Hustle|GigWorld|425.00
2022-10-28|12:00:00|Internet|NetLink|-59.99
2022-11-09|10:15:00|Doctor Visit|HealthCare Center|-150.00
2022-12-22|13:35:00|Gift|Coworker|60.00
2022-12-31|20:45:00|Rent|PE Rentals|-1400.00
2023-01-18|09:50:00|Clothing|MallShop|-89.99
2023-02-20|14:00:00|Freelance|Client A|1000.00
2023-03-07|16:45:00|Grocery|SuperMart|-130.40
2023-04-11|13:20:00|Phone Bill|MobileNet|-70.00
2023-05-29|11:11:00|Consulting Fee|Client Z|850.00
2023-06-03|10:00:00|Dining|Burger Joint|-22.95
2023-07-10|08:30:00|Rent|PE Rentals|-1450.00
2023-08-17|18:35:00|Gift Card|OnlineStore|50.00
2023-09-26|12:12:00|Streaming|MovieWorld|-12.99
2023-10-30|14:10:00|Software Purchase|TechCorp|-89.99
2023-11-23|10:30:00|Black Friday Deal|ElectroStore|-199.00
2023-12-05|15:00:00|Interest|Savings Bank|8.75
2023-12-31|19:59:59|Year-End Bonus|Company A|1500.00
2024-01-04|11:00:00|Dining|Cafe Delight|-18.75
2024-02-15|13:00:00|Book Royalty|Publisher Inc|275.00
2024-03-21|10:10:10|Project Payment|Startup Co|900.00
2024-04-03|09:00:00|Gas|FuelCo|-60.25
2024-05-07|17:30:00|Client Payment|Client B|1100.00
2024-06-11|16:10:00|Charity Donation|HelpNow|-100.00
2024-07-16|14:00:00|Reimbursement|Employer|45.00
2024-08-22|08:25:00|Dining|Steak House|-75.00
2024-09-09|10:15:00|Electric Bill|City Utility|-120.00
2024-10-14|12:45:00|Haircut|Barber Co|-35.00
2024-11-28|20:30:00|Thanksgiving Bonus|Company A|300.00
2024-12-25|10:10:00|Christmas Gift|Friend|100.00
2024-12-31|18:00:00|Rent|PE Rentals|-1550.00
2025-01-01|00:01:00|New Year Bonus|Company A|800.00
2025-02-06|08:25:00|Pet Supplies|PetStore|-90.00
2025-04-10|09:14:33|Bonus|Company A|500.00
2025-06-06|06:06:06|Night Out|Bar Club|-85.00
2025-04-03|16:52:44|Rent|PE Rentals|-2400.00
2025-05-01|16:28:09|Food|Amazon Prime|-100.87
2025-05-01|16:28:09|Food|Amazon Fresh|-64.87
2025-05-01|16:28:09|Food|Amazon Pharmacy|64.87
2025-05-01|16:28:09|Food|Amazon Fresh|-264.87
2025-05-05|17:17:17|Software License|TechCorp|-89.99
2025-05-04|14:44:38|fdfd|dfdfd|100.00
2025-05-04|14:45:23|fddff|dfdfd|-100.00
2025-05-04|15:02:10|try1|fddf|100.00
2025-05-04|15:02:25|try 2|gfgd|-100.00
2025-05-22|03:30|Amazon|Amazon Prime|100.00
2025-03-14|04:50|fgfd|fddf|-300.00
2025-05-04|17:18:15|Food|subway|20.50
2021-07-12|05:30|Rent|CA Rentals|-1200.00
2025-05-04|17:21:59|Emergrny|Hospital|-5000.00
